Term	fdr	es	nes	gene %	lead_genes
translation (GO:0006412)	0.0	0.4531627226569303	3.0551901388270224	25.72%	RPS19;RPS23;UBA52;RPS14;RPLP1;RPL34;RPL32;MRPL13;RWDD1;EEF1E1;RPL27A;RPL28;RPL37;RPS6;MRPS21;RPS3;RPS29;RPS13;TMA7;RPL36;RPL35A;RPS5;RPS16;MRPL27;MRPL11;RRBP1;MRPL18;RPS27A;MRPL52;RPS21;MRPL51;RPL22L1;RPL15;RPL30;MRPS33;MRPL36;NDUFA7;RPL26L1;MRPL47;MRPL24;COPS5;RPS12;RPL35;MRPS18A;MRPS14;RPS20;RPL27;RSL24D1;RPL12;RPLP0;N6AMT1;MRPS17;RPL13;RPS4X;MRPL42;FTSJ1;DRG2;RPL3;RPL13A;RPL11;MRPL57;RARS2;MRPS11;RPS8;HBS1L;RPL14;RPS28
negative regulation of cell cycle G2/M phase transition (GO:1902750)	0.0	0.5738273043557046	3.0414088338772283	33.43%	PSMB2;PSMA2;PSMA5;SKP1;RBX1;PSMD14;PSMD9;PSMA4;PSMB1;PSMA1;PSMD11;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;PSMC2;PSMA7;PINX1;PSMC4;PSMB4;PSMF1;PSMC6;PSMD8;PSMD13;PSMC3
negative regulation of viral genome replication (GO:0045071)	0.0	0.6464838674227198	2.9899749372533653	9.23%	OASL;OAS2;OAS3;OAS1;MX1;PLSCR1;ISG20;IFITM3;IFI16;IFIH1;IFITM2;RNASEL;ISG15
regulation of cell cycle phase transition (GO:1901987)	0.0	0.4882069473898904	2.9787814295609936	28.78%	NEK10;PSMB2;PSMA2;PSMA5;SKP1;PSMD14;PSMD9;PSMA4;PSMB1;PSMA1;BUB3;PSMD11;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;TP53;PSMC2;PSMA7;MN1;PSMC4;PSMB4;UBE2S;ANAPC5;PSMF1;ANAPC16;PSMC6
negative regulation of viral process (GO:0048525)	0.0	0.5604197471887067	2.9352375624402627	13.16%	OASL;OAS2;OAS3;OAS1;MX1;PLSCR1;ISG20;IFITM3;IFI16;IFIH1;IFITM2;PTX3;RNASEL;ISG15;PPIA;EIF2AK2
ribosome biogenesis (GO:0042254)	0.0	0.43489670137521214	2.9114363614477585	37.48%	RPS19;UBA52;RPS14;MRPL22;RPLP1;RPL34;RPL32;MPHOSPH6;EXOSC1;POP5;RPL27A;RPL28;RPL37;RPS6;EMG1;EIF6;POP4;RPL36;RPL35A;RPS16;C1D;EBNA1BP2;RPL15;RPL30;RPF2;RAN;MRPL36;RPL26L1;DDX47;PAK1IP1;RPL35;MRTO4;RPL27;RPL12;UTP14A;DDX27;RPLP0;MPHOSPH10;RPL13;ESF1;RIOK1;SDAD1;DKC1;EXOSC7;FCF1;NOL9;RPL3;RPL13A;RPL11;RPL14;RPS28;NOB1;LAS1L;DHX29;RCL1;RIOK2;SBDS;LYAR;LTV1;UTP15;DDX10;RPL22;RPL8;NOP56;NOP58;IMP3;NOL8;RPL10;XRN2;WDR12;EXOSC2
mitochondrial translational elongation (GO:0070125)	0.00010471927212799875	0.5020300918825894	2.8929838327686572	33.32%	MRPL22;MRPL13;MRPS21;MRPL33;CHCHD1;MRPL27;MRPL17;MRPL11;MRPL18;MRPL40;MRPL52;MRPL51;MRPS33;MRPL21;MRPL36;MRPL47;MRPL24;MRPS18A;MRPS14;MRPS23;MRPS17;MRPL14;MRPL48;MRPL42;MRPL57;MRPS11;MRPS10;MRPL54;MRPL46;MRPS28;MRPS16;MRPL32;MRPL38;MRPL12;MRPL20;TSFM
protein-DNA complex assembly (GO:0065004)	9.995930521308972e-05	0.4670973290689546	2.8563113643847444	33.43%	GTF2H5;UBA52;PSMB2;PSMA2;PSMA5;RBX1;PSMD14;PSMD9;UBB;PSMA4;PSMB1;PSMA1;RPS27A;PSMD11;CHAF1B;ORC5;PSMC5;PSMB5;PSMB6;ORC1;PSMD12;PSME2;PSMD10;TCF4;PSMC2;PSMA7;GMNN;CETN2;MNAT1;PSMC4;PSMB4;UBC;RPA3;RPA2;PSMF1;CDC6;PSMC6;GTF2H1;PSMD8;GTF2H3;CCNH;PSMD13;PSMC3
peptide biosynthetic process (GO:0043043)	9.56132484646945e-05	0.40276072248510164	2.8527538370493732	25.72%	RPS19;RPS23;RPS14;RPLP1;RPL34;RPL32;MRPL13;RPL27A;RPL28;RPL37;RPS6;MRPS21;RPS3;RPS29;RPS13;RPL36;RPL35A;RPS5;RPS16;MRPL27;MRPL11;RRBP1;MRPL18;RPS27A;MRPL52;RPS21;MRPL51;RPL15;RPL30;MRPS33;MRPL36;MRPL24;COPS5;RPS12;RPL35;MRPS18A;MRPS14;RPS20;RPL27;RSL24D1;RPL12;RPLP0;MRPS17;RPL13;RPS4X;MRPL42;RPL3;RPL13A;RPL11;MRPS11;RPS8;HBS1L;RPL14;RPS28
cellular macromolecule biosynthetic process (GO:0034645)	9.162936311199891e-05	0.32427113694806275	2.8140408645339785	30.24%	INHBA;RPS19;RPS23;RPS14;RPLP1;RPL34;RPL32;POLR2L;MRPL13;RPL27A;RPL28;RPL37;RPS6;MRPS21;RPS3;RPS29;RPS13;POLR2K;RPL36;GCNT1;RPL35A;POLR2F;RPS5;KIN;RPS16;MRPL27;MRPL11;RRBP1;MRPL18;RPS27A;MRPL52;POLR2G;RPS21;RNASEH2A;MRPL51;RPL15;RPL30;MRPS33;MRPL36;PWP1;ORC5;POLE3;MRPL24;COPS5;ORC1;RPS12;RPL35;FAM111A;MRPS18A;MRPS14;RPS20;RPL27;POLA2;RSL24D1;RHNO1;RPL12;RPLP0;MRPS17;RPL13;EXT1;RPS4X;MRPL42;RPL3;RPL13A;RPL11;MRPS11;RPS8;HBS1L;RPL14;TIPIN;RPS28;RPA3;WRN;RPA2;RAD1;CDC6;RPS11;RMI1;THAP1;TAF1B;FARSB;RRAGC;MRPS16;PTMA
regulation of cellular amine metabolic process (GO:0033238)	8.796418858751895e-05	0.5329843692649894	2.8092719286821395	33.43%	NQO1;PSMB2;PSMA2;PSMA5;PSMD14;PSMD9;PSMA4;PSMB1;PSMA1;PSMD11;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;PSMC2;PSMA7;OAZ1;PSMC4;PSMB4;PSMF1;PSMC6;PSMD8;PSMD13;PSMC3
transcription-coupled nucleotide-excision repair (GO:0006283)	8.458095056492207e-05	0.5142669268677883	2.7994074300962017	34.05%	GTF2H5;UBA52;POLR2L;RBX1;POLR2K;RFC1;POLR2F;UBB;ERCC6;PPIE;RPS27A;POLR2G;ISY1;COPS8;PCNA;COPS5;ERCC4;POLD4;MNAT1;UBC;RPA3;RPA2;COPS4;ZNF830;GTF2H1;GTF2H3;POLR2H;CCNH;COPS7A;POLD3;ERCC8;TCEA1;POLK
translational termination (GO:0006415)	8.144832276622124e-05	0.4689200065757215	2.768971264737563	33.29%	MRPL22;MRPL13;MRPS21;MRPL33;CHCHD1;MRPL27;MRPL17;MRPL11;MRPL18;MRPL40;MRPL52;MRPL51;MRPS33;MRPL21;MRPL36;MRPL47;MRPL24;MRPS18A;MRPS14;MRPS23;N6AMT1;MRPS17;MRPL14;MRPL48;MRPL42;MRPL57;MRPS11;MRPS10;MRPL54;MRPL46;MRPS28;MRPS16;MRPL32;MRPL38;MRPL12;MRPL20
mitochondrial respiratory chain complex assembly (GO:0033108)	0.00015707890819199812	0.48549819442516434	2.761366551007107	24.21%	NDUFC2;UQCC2;NDUFC1;NDUFB6;NDUFA11;NDUFB3;COA3;SDHAF2;NDUFB4;NDUFAF3;COX19;SDHAF3;NDUFAF2;COX14;NDUFA2;NDUFA7;NDUFAF4;NDUFA13;NDUFB2;NDUFA9;TMEM126A;NDUFS4;NDUFB9;NDUFA1
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	0.00014660698097919824	0.4791214060866711	2.761362332006553	24.21%	UQCRQ;NDUFA4;NDUFC2;UQCR11;NDUFC1;NDUFB6;NDUFA11;UQCRB;NDUFB3;UQCR10;SDHAF2;NDUFB4;COX7A2L;COX6A1;NDUFA2;NDUFA7;UQCRHL;SDHC;NDUFA13;NDUFB2;COX4I1;SDHD;COX8A;NDUFA9;NDUFS4;NDUFB9;NDUFA1
aerobic electron transport chain (GO:0019646)	0.00014660698097919824	0.4791214060866711	2.761362332006553	24.21%	UQCRQ;NDUFA4;NDUFC2;UQCR11;NDUFC1;NDUFB6;NDUFA11;UQCRB;NDUFB3;UQCR10;SDHAF2;NDUFB4;COX7A2L;COX6A1;NDUFA2;NDUFA7;UQCRHL;SDHC;NDUFA13;NDUFB2;COX4I1;SDHD;COX8A;NDUFA9;NDUFS4;NDUFB9;NDUFA1
DNA-dependent DNA replication (GO:0006261)	0.00014187772352825637	0.43940038751868976	2.759226552204756	34.11%	UBA52;PSMB2;PSMA2;PSMA5;PSMD14;RFC1;PSMD9;UBB;PSMA4;PSMB1;PSMA1;RPS27A;PSMD11;ORC5;PSMC5;POLE3;PSMB5;PSMB6;ORC1;PSMD12;PSME2;POLE4;PSMD10;POLA2;PSMC2;POLD4;SIRT7;GINS4;PSMA7;GMNN;PSMC4;PSMB4;UBC;RPA3;PRIM2;WRN;RPA2;GINS2;PSMF1;CDC6;PSMC6;NOC3L;PSMD8;POLB;DDX21;PSMD13;POLD3;PSMC3;TEFM
actin-myosin filament sliding (GO:0033275)	0.0	-0.8184645405241657	-2.7507801699063497	4.08%	MYH7;MYH6;MYL3;MYBPC3;ACTN2;TNNI1;TNNC1;MYL2;MYL4;ACTC1;TMOD1;TNNI3;TCAP;TNNT2;DES;ACTA1;NEB
muscle filament sliding (GO:0030049)	0.0	-0.8184645405241657	-2.7507801699063497	4.08%	MYH7;MYH6;MYL3;MYBPC3;ACTN2;TNNI1;TNNC1;MYL2;MYL4;ACTC1;TMOD1;TNNI3;TCAP;TNNT2;DES;ACTA1;NEB
regulation of cellular amino acid metabolic process (GO:0006521)	0.00013744404466799835	0.519422714089016	2.7472359722291286	33.43%	NQO1;PSMB2;PSMA2;PSMA5;PSMD14;PSMD9;PSMA4;PSMB1;PSMA1;PSMD11;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;PSMC2;PSMA7;OAZ1;PSMC4;PSMB4;PSMF1;PSMC6;PSMD8;PSMD13;PSMC3
heart contraction (GO:0060047)	0.0	-0.8271521230077261	-2.7419202863254415	7.89%	MYH7;MYH6;MYL3;MYBPC3;TNNI1;TNNC1;MYL2;MYL4;CSRP3;RYR2;ACTC1;TNNI3;TCAP;TNNT2;KCNH2;TRDN;ATP1A2;SCN5A;KCNQ1;TTN
mitochondrial translational termination (GO:0070126)	0.00013327907361745296	0.4647146481620671	2.7377393603120654	33.29%	MRPL22;MRPL13;MRPS21;MRPL33;CHCHD1;MRPL27;MRPL17;MRPL11;MRPL18;MRPL40;MRPL52;MRPL51;MRPS33;MRPL21;MRPL36;MRPL47;MRPL24;MRPS18A;MRPS14;MRPS23;MRPS17;MRPL14;MRPL48;MRPL42;MRPL57;MRPS11;MRPS10;MRPL54;MRPL46;MRPS28;MRPS16;MRPL32;MRPL38;MRPL12;MRPL20
cellular response to interferon-gamma (GO:0071346)	0.00012935910086399845	0.43647361097085774	2.6967595125754666	3.98%	OASL;MT2A;CCL11;OAS2;OAS3;OAS1;GBP1;SP100;IFI30;CCL26;HLA-B;TRIM22;CD44;TLR4;TRIM38
interleukin-1-mediated signaling pathway (GO:0070498)	0.0001256631265535985	0.4610498836696359	2.6871570103170783	25.49%	IL1B;UBA52;PSMB2;PSMA2;PSMA5;SKP1;RBX1;PSMD14;IRAK3;PSMD9;UBB;PSMA4;PSMB1;PSMA1;RPS27A;PSMD11;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;IRAK4;PSMD10;PSMC2;UBE2N;PSMA7;PSMC4;PSMB4;IRAK1;UBC
rRNA metabolic process (GO:0016072)	0.00012217248414933188	0.3926379939976615	2.6687339501968794	37.48%	RPS19;UBA52;RPS14;RPLP1;RPL34;RPL32;MPHOSPH6;EXOSC1;POP5;RPL27A;RPL28;RPL37;RPS6;EMG1;POP4;RPL36;RPL35A;RPS16;C1D;EBNA1BP2;RPL15;RPL30;DDX47;RPL35;MRTO4;RPL27;RPL12;UTP14A;DDX27;RPLP0;MPHOSPH10;RPL13;NIFK;ESF1;DKC1;EXOSC7;FCF1;NOL9;RPL3;RPL13A;RPL11;RPL14;RPS28;NOB1;LAS1L;RCL1;SBDS;LYAR;UTP15;DDX10;RPL22;RPL8;NOP56;NOP58;IMP3;NOL8;RPL10;XRN2;WDR12;EXOSC2
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	0.00029717631279567214	0.4570224036857928	2.6453151012858442	37.65%	IFI30;HLA-B;PSMB2;PSMA2;PSMA5;PSMD14;B2M;PSMD9;PSMA4;PSMB1;PSMA1;PSMD11;ITGB5;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;SNAP23;PSMD10;PSMC2;PSMA7;PSMC4;PSMB4;SEC22B;PSMF1;VAMP3;PSMC6;PSMD8;PSMD13;PSMC3;PDIA3;PSMD7;PSME3;CALR
interleukin-27-mediated signaling pathway (GO:0070106)	0.0002893558835115755	0.8463655168892199	2.6421013576850165	1.41%	OASL;CRLF1;OAS2;OAS1;MX1
cardiac muscle contraction (GO:0060048)	0.0	-0.8258914982011721	-2.634874266996141	7.89%	MYH7;MYH6;MYL3;MYBPC3;TNNI1;TNNC1;MYL4;CSRP3;RYR2;TNNI3;TCAP;TNNT2;KCNH2;ATP1A2;SCN5A;KCNQ1;TTN
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	0.0003298657072031961	0.6904019766232208	2.612945214776229	14.04%	LY96;CD14;TLR4;UBA52;TICAM1;UBB;RPS27A;TANK
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	0.0003298657072031961	0.6904019766232208	2.612945214776229	14.04%	LY96;CD14;TLR4;UBA52;TICAM1;UBB;RPS27A;TANK
interferon-gamma-mediated signaling pathway (GO:0060333)	0.0003218202021494596	0.4577324370372438	2.6120702238597677	3.98%	OASL;MT2A;OAS2;OAS3;OAS1;GBP1;SP100;IFI30;HLA-B;TRIM22;CD44;TRIM38
positive regulation of type I interferon production (GO:0032481)	0.00036651745244799564	0.4896274024812867	2.609339210559057	11.33%	CD14;OAS2;OAS3;OAS1;TLR4;IFI16;DHX58;IFIH1;POLR2L;ISG15;POLR2K;POLR2F
striated muscle contraction (GO:0006941)	0.0	-0.7605913204066265	-2.60876542477054	7.89%	MYH7;MYH6;MYL3;MYBPC3;TNNI1;TNNC1;MYL4;CSRP3;RYR2;SMPX;TNNI3;TCAP;TNNT2;KCNH2;RCSD1;KLHL41;ATP1A2;SCN5A;KCNQ1;CCDC78;TTN
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	0.00035799379076315854	0.4586772925048519	2.604411039038072	23.85%	PSMB2;PSMA2;PSMA5;SKP1;RBX1;PSMD14;NABP1;PSMD9;PSMA4;PSMB1;PSMA1;PSMD11;NABP2;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;AURKB;PSMC2;PSMA7;PINX1;PSMC4;PSMB4
tumor necrosis factor-mediated signaling pathway (GO:0033209)	0.00039983722085235886	0.4170245573653211	2.596126672485269	23.85%	TNFRSF11B;CD70;PSMB2;TMSB4X;PSMA2;PSMA5;LTBR;EDARADD;PSMD14;TNFSF9;PYCARD;PSMD9;PSMA4;PSMB1;PSMA1;EIF5A;PSMD11;EDA2R;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;TP53;TNFSF12;PSMC2;TNFRSF1A;PSMA7;STAT1;TRADD;PSMC4;PSMB4
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	0.000390951949277862	0.46119023865684633	2.5960199313820778	37.65%	HLA-B;PSMB2;PSMA2;PSMA5;PSMD14;B2M;PSMD9;PSMA4;PSMB1;PSMA1;PSMD11;ITGB5;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;SNAP23;PSMD10;PSMC2;PSMA7;PSMC4;PSMB4;SEC22B;PSMF1;VAMP3;PSMC6;PSMD8;PSMD13;PSMC3;PDIA3;PSMD7;PSME3;CALR
ribosomal small subunit biogenesis (GO:0042274)	0.000382452993858778	0.6196757890272359	2.595113267208594	31.94%	RPS27L;RPS19;RPS14;RPS6;EMG1;RPS5;LSM6;RPS16;SRFBP1;RIOK1;MRPS11;RPS28;NOB1;RIOK2;LTV1
ribosome assembly (GO:0042255)	0.00042110515813173965	0.5336525644264337	2.5856943023088674	36.85%	RPS27L;RPS19;RPS14;MRPL22;EIF6;RPS5;RPF2;RSL24D1;RPLP0;NOP2;RPL3;RPL11;MRPS11;RPS28;DHX29;SBDS;MPV17L2;MRPL20;RPL10;MRPS7
NADH dehydrogenase complex assembly (GO:0010257)	0.00040391719249370945	0.5155889019083202	2.5853375264644662	34.86%	NDUFC2;NDUFC1;NDUFB6;NDUFA11;NDUFB3;NDUFB4;NDUFAF3;NDUFAF2;NDUFA2;NDUFA7;NDUFAF4;NDUFA13;NDUFB2;NDUFA9;TMEM126A;NDUFS4;NDUFB9;NDUFA1;NDUFA12;NDUFV3;NDUFS8;TMEM126B;NDUFA5;NDUFAF6
mitochondrial respiratory chain complex I assembly (GO:0032981)	0.00040391719249370945	0.5155889019083202	2.5853375264644662	34.86%	NDUFC2;NDUFC1;NDUFB6;NDUFA11;NDUFB3;NDUFB4;NDUFAF3;NDUFAF2;NDUFA2;NDUFA7;NDUFAF4;NDUFA13;NDUFB2;NDUFA9;TMEM126A;NDUFS4;NDUFB9;NDUFA1;NDUFA12;NDUFV3;NDUFS8;TMEM126B;NDUFA5;NDUFAF6
nuclear-transcribed mRNA catabolic process (GO:0000956)	0.0005277851315251137	0.3877888118767008	2.5530073481935607	25.72%	RPS19;RPS23;UBA52;RPS14;RPLP1;RPL34;MAGOHB;RPL32;RPL27A;RPL28;RPL37;RPS6;RPS3;RPS29;RPS13;RPL36;RPL35A;RPS5;RPS16;RPS27A;POLR2G;RPS21;RPL15;RPL30;RBM8A;PELO;RPS12;RPL35;MRTO4;MAGOH;RPS20;RPL27;RPL12;RPLP0;RPL13;RPS4X;EXOSC7;RPL3;RPL13A;RPL11;RPS8;RPL14;RPS28
gene expression (GO:0010467)	0.0006036758040319928	0.29863623971457903	2.5418386038748295	30.24%	NOX4;RPS19;RPS23;RPS14;RPLP1;RPL34;MAGOHB;RPL32;POLR2L;MRPL13;RPL27A;RPL28;RPL37;RPS6;RNASEL;MRPS21;RPS3;RPS29;RPS13;POLR2K;RPL36;RPL35A;POLR2F;RPS5;RPS16;MRPL27;MRPL11;DUSP11;RRBP1;MRPL18;RPS27A;SEC13;MRPL52;POLR2G;RPS21;MRPL51;RPL15;RPL30;RBM8A;MRPS33;MRPL36;PWP1;MRPL24;COPS5;RBM3;RPS12;RPL35;SRSF3;MAGOH;MRPS18A;MRPS14;RPS20;RPL27;RSL24D1;RPL12;NUP37;SRSF7;RPLP0;MPHOSPH10;MRPS17;RPL13;NXT1;DDX39A;CLP1;RPS4X;DKC1;RAE1;MRPL42;SEH1L;NOL9;RPL3;RPL13A;RPL11;MRPS11;NUP35;RPS8;HBS1L;SLU7;RPL14;RPS28;DHX8;RPS11;TPR;SRRM1;SNRNP40;THOC7;THAP1;SYNCRIP;TAF1B;FARSB;RRAGC;MRPS16;PTMA
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	0.0005920666539544545	0.7171796342337446	2.537228242727137	23.85%	PSMB2;PSMA2;PSMA5;PSMA4;PSMB1;PSMA1;PSMB5;PSMB6;PSMA7;PSMB4
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	0.0006223881267984833	0.4889654445542585	2.527501774441671	24.68%	IGF1;DEPTOR;SP100;CAV1;THBS1;SCG2;FAS;G0S2;LTBR;PYCARD;LGALS3;BMP4;SH3RF1;ACVR1;TNFSF12;PML;PARK7;TRADD;GSTP1;CYLD
ventricular cardiac muscle tissue development (GO:0003229)	0.0	-0.7842946167058934	-2.525229167126158	3.57%	MYH7;MYH6;MYL3;MYBPC3;TNNC1;MYL2;TNNI3;TNNT2;DSG2;HAND1;PROX1;ADAMTS9;TBX5
muscle contraction (GO:0006936)	0.0	-0.6493494881150043	-2.5185954629745417	7.89%	MYL7;MYH7;MYH6;MYL3;MYBPC3;ACTN2;TNNI1;TNNC1;MYL2;MYL4;SMPX;ACTC1;TMOD1;HRC;LMOD2;TNNI3;HCN4;MYH11;TCAP;TNNT2;DES;TACR2;TRDN;ACTA1;FXYD1;NEB;CHRNE;KLHL41;KCNIP2;MYOM1;CKMT2;CACNA1H;TTN
nucleotide-excision repair, DNA gap filling (GO:0006297)	0.00065158658212977	0.660684410646388	2.5174695195066716	34.05%	UBA52;RFC1;UBB;RPS27A;PCNA;POLD4;UBC;RPA3;RPA2;POLB;POLD3;POLK
