Term	fdr	es	nes	gene %	lead_genes
platelet degranulation (GO:0002576)	0.0	0.5459429588053282	2.523280889490263	32.89%	SRGN;IGF1;TIMP3;ECM1;SERPINA3;ISLR;SERPINE1;TIMP1;VEGFC;THBS1;FN1;SPARC;RAB27B;TTN;TGFB2;SYTL4;ANXA5;F8;FERMT3;GAS6;CD109;LAMP2;TGFB1;CYB5R1;PROS1;TAGLN2;TEX264;CHID1;ALDOA;VEGFB;ENDOD1;PHACTR2;VEGFA;LGALS3BP;CD63;A1BG;ACTN1;TLN1;APOOL
type I interferon signaling pathway (GO:0060337)	0.0	0.6171279882347772	2.509956811288419	21.00%	SP100;IFIT3;IFIT1;IFIT2;OASL;IFI35;XAF1;OAS3;GBP2;IFI6;RNASEL;HLA-B;IRF1;MX1;ISG20;IRF9;IFNAR1;IFIT5;IFITM3;ISG15;STAT2
cellular response to type I interferon (GO:0071357)	0.0	0.6171279882347772	2.509956811288419	21.00%	SP100;IFIT3;IFIT1;IFIT2;OASL;IFI35;XAF1;OAS3;GBP2;IFI6;RNASEL;HLA-B;IRF1;MX1;ISG20;IRF9;IFNAR1;IFIT5;IFITM3;ISG15;STAT2
negative regulation of endopeptidase activity (GO:0010951)	9.693789974492496e-05	0.7347875977441694	2.483681952200996	8.15%	TIMP3;IFI16;SERPINA3;SERPINE1;TIMP1;SERPINB2;SERPINE2;SERPINB8;SPOCK1;AGT;TIMP2
response to interleukin-1 (GO:0070555)	0.0004523768654763166	0.5772069546331506	2.4177893047117616	17.97%	ANXA1;CCL11;ANKRD1;IL1B;GBP1;IL1R1;CXCL8;GBP2;GBP3;CCL2;SMPD1;IRAK3;SIRPA;PTGIS;ADAMTS12;NKX3-1;PRKCA;CD47
regulation of interferon-gamma production (GO:0032649)	0.0004241033113840468	0.6237399437517182	2.411537782817045	19.26%	INHBA;IL1B;IL1R1;CD14;DDIT3;PDCD1LG2;TLR4;CD244;SIRPA;CD274;BTN3A1;TNFSF4;BTN3A2;GAS6;AXL;PRNP;CD47;ISG15
epithelial cell migration (GO:0010631)	0.00039915605777322046	0.6577335666164289	2.4017167691244987	10.92%	CDH13;FAP;NRP1;SCG2;LPXN;ADGRA2;ZEB2;DPP4;S100A2;STARD13;CYP1B1;LOXL2
response to lipopolysaccharide (GO:0032496)	0.0003769807212302638	0.516498569355163	2.3906518655482962	17.35%	CD68;LY96;ANKRD1;SERPINE1;IL1B;VIM;IL6;CD14;CARD16;CXCL8;CASP1;PDCD1LG2;TLR4;CCL2;SRR;TNFAIP3;FOXP1;IRAK3;SIRPA;CD274;TNFSF4;TICAM1;WNT5A;IFNAR1;FER;AXL
regulation of endopeptidase activity (GO:0052548)	0.0008571351135340736	0.6617691707003664	2.3600165277684075	8.15%	TIMP3;SERPINA3;SERPINE1;TIMP1;SERPINB2;SERPINE2;SERPINB8;SPOCK1;AGT;TIMP2
positive regulation of receptor-mediated endocytosis (GO:0048260)	0.0008142783578573698	0.6935561942774284	2.35426066649206	12.25%	SFRP4;GREM1;SERPINE1;DAB2;ANGPT1;ANXA2;HFE;SGIP1;B2M
inflammatory response (GO:0006954)	0.0007755031979593998	0.5172239346792438	2.3363839857747273	8.02%	ANXA1;CD44;SERPINA3;CCL11;TNFAIP6;SCG2;NOX4;PTX3;IL1B;THBS1;IL6;MGLL;CD14;CXCL8;TLR4;CCL2;HRH1;ADGRE5
regulation of smooth muscle cell proliferation (GO:0048660)	0.000740253052597609	0.6065557889619382	2.3308139827580208	12.15%	IGF1;CDH13;IGFBP3;THBS1;IL6;EDN1;IGFBP5;APOD;ANG;BMP4;TNFAIP3;ELN;FOXP1
interferon-gamma-mediated signaling pathway (GO:0060333)	0.0007080681372672782	0.6136099680673963	2.3305067461636386	14.19%	CD44;SP100;OASL;GBP1;OAS3;TRIM38;GBP2;MT2A;HLA-B;IRF1;B2M;IRF9;ICAM1
cell-matrix adhesion (GO:0007160)	0.000791659514583554	0.5085651482331585	2.32810828980121	22.25%	COL3A1;ITGA11;ITGBL1;CD44;FBLN5;ECM2;FN1;DLC1;THBS3;EMILIN1;THSD1;ITGB1BP1;ITGA2;FERMT3;ITGB8;ITGA3;ADAMTS12;NID2;ITGA1;ITGA4;PEAK1;EMP2
regulation of interleukin-8 production (GO:0032677)	0.0007599931340002119	0.576247759996773	2.318307441171572	10.75%	ANXA1;SERPINE1;IL1B;IL6;CD14;DDIT3;ANXA4;TLR4;CD244;SSC5D;F3
regulation of inflammatory response (GO:0050727)	0.0007829599594782402	0.4806713760772645	2.3168273242173183	17.97%	ANXA1;CASP4;TNFAIP6;SERPINE1;IL1B;IL6;SPHK1;MGLL;IFI35;IL1R1;CASP1;TLR4;AGT;BST1;TRADD;IL16;TNFAIP3;NLRP1;TSLP;PPARA;FOXP1;SIRPA;LACC1;TNFSF4;NMI;PTGIS;WNT5A;PTGER4;ADAMTS12;CD47
integrin-mediated signaling pathway (GO:0007229)	0.0008042255386245628	0.562034500264686	2.3110714369399723	19.26%	COL3A1;ITGA11;ITGBL1;NRP1;DAB2;FN1;COL16A1;ITGB1BP1;ADAMTS1;ITGA2;FERMT3;DST;ITGB8;ITGA5;PRKD1;CD47;ISG15
cytokine-mediated signaling pathway (GO:0019221)	0.0007755031979593997	0.3857888613400839	2.30874838812539	21.00%	TNFRSF11B;ANXA1;CD44;COL1A2;ZEB1;CCL11;SP100;IFIT3;TIMP1;IFIT1;IL1B;IFIT2;OASL;SERPINB2;VIM;IL6;FN1;GBP1;OSMR;IFI35;IL1R1;ACKR3;XAF1;OAS3;TRIM38;CXCL8;CASP1;GBP2;MMP1;IL6ST;IL7R;MT2A;TWIST1;IL11;IFI6;RNASEL;ANXA2;CCL2;IL32;HLA-B;IRF1;TRADD;CSF2RB;CSF1;IL16;MMP2;MX1;IL10RB;IL11RA;TSLP;F3;PLP2;LTBR;B2M;CLCF1;IRAK3;ISG20;IRF9;ICAM1;TNFSF4;MUC1;IL15RA;IFNAR1;FER;SQSTM1;IFIT5;TXNDC17;PSMD9;IFITM3;CSNK2B;CD70;ISG15;UBA52;SKP1;TGFB1;STAT2
regulation of cytokine production (GO:0001817)	0.0009827497422416533	0.5059915555411598	2.3011481615192535	20.42%	SRGN;ANXA1;GPNMB;IFI16;SNAI2;IL6;PLA2R1;AGT;HLA-B;IFIH1;BTN3A3;CASP8;TREX1;FOXP1;SIRPA;BTN3A1;TNFSF4;PTGER4;BTN3A2;CD47;S100A13;ISG15;ERMAP
cellular response to interferon-gamma (GO:0071346)	0.0011309421636907914	0.5334901120435052	2.2920788289203498	15.56%	CD44;CCL11;SP100;OASL;GBP1;OAS3;TRIM38;CASP1;GBP2;GBP3;MT2A;TLR4;CCL2;HLA-B;IRF1;B2M;SIRPA;IRF9;ICAM1;WNT5A
regulation of blood coagulation (GO:0030193)	0.0012695737837561144	0.8002334487784817	2.2853507181032	3.74%	TFPI;FAP;SERPINE1;THBS1;CAV1;EDN1;SERPINE2
negative regulation of interferon-gamma production (GO:0032689)	0.0013571305964289496	0.7607119039311994	2.277964733095863	17.93%	INHBA;DDIT3;PDCD1LG2;TLR4;CD274;TNFSF4;GAS6;AXL;PRNP
peptide cross-linking (GO:0018149)	0.0014393809356064615	0.8870997940460591	2.271391363368428	11.41%	COL3A1;ANXA1;CSTA;THBS1;FN1;TGM2;KRT10
regulation of endothelial cell migration (GO:0010594)	0.002474767558193967	0.49466119652223867	2.2337994518875903	18.34%	DCN;NR2F2;SP100;NRP1;THBS1;RIN2;EDN1;SPARC;ANGPT1;FGF1;RHOJ;AGT;BMP4;FOXP1;ITGB1BP1;ATOH8;SLIT2;SMOC2;WNT5A;BMPR2;PRKD1;PRKCA;PTPRM
defense response to symbiont (GO:0140546)	0.002481610233470079	0.48541579535414525	2.2292939152652367	19.26%	IFI16;IFIT3;IFIT1;IFIT2;OASL;IL6;LYST;SLFN11;OAS3;IFI6;RNASEL;IRF1;IFIH1;NLRC5;MX1;NLRP1;MICA;ISG20;APOBEC3G;IFI44L;IFIT5;BNIP3L;IFITM3;ISG15
positive chemotaxis (GO:0050918)	0.0024503746879967147	0.7379680714006537	2.228308582000895	11.82%	FGF7;GPNMB;NRP1;SCG2;ANGPT1;LGALS3;SEMA5A
defense response to virus (GO:0051607)	0.00275094039816679	0.47790389661621563	2.2161816620148165	19.26%	IFI16;IFIT3;IFIT1;IFIT2;OASL;IL6;LYST;SLFN11;OAS3;IFI6;RNASEL;IRF1;IFIH1;NLRC5;MX1;NLRP1;MICA;ISG20;APOBEC3G;IFI44L;IFIT5;BNIP3L;IFITM3;ISG15
endothelial cell migration (GO:0043542)	0.00396424990009509	0.57563179069422	2.189232139016434	10.92%	CDH13;FAP;NRP1;SCG2;LPXN;ADGRA2;DPP4;S100A2;STARD13;CYP1B1;LOXL2
negative regulation of epithelial cell apoptotic process (GO:1904036)	0.003966997128023084	0.6097642798637727	2.18630233674887	17.09%	NUPR1;SERPINE1;SCG2;ANGPT1;IL11;TNFAIP3;PPARA;SEMA5A;ICAM1;CAST;GATA2;GAS6
regulation of response to external stimulus (GO:0032101)	0.004037463524376125	0.5077432278651044	2.184230789866512	17.46%	ANXA1;PDGFRA;CASP4;GATA6;ADGRA2;MGLL;CAV1;IL1R1;CASP1;BST1;IRF1;NLRP1;CASP8;FOXP1;LACC1;TNFSF4;WNT5A;ADAMTS12;DHX58
muscle organ development (GO:0007517)	0.005825731340768174	0.6276175103176123	2.1545591870680854	13.87%	COL6A3;IGF1;ITGA11;LAMA2;VAMP5;TCF21;TAGLN;HBEGF;MRAS;EVC
skeletal system development (GO:0001501)	0.006204025583675199	0.4438199992377489	2.1485455471384083	19.73%	FBN1;IGF1;TNFRSF11B;NPR3;COMP;CD44;CDH11;COL1A1;COL1A2;HAPLN1;ANKH;TRPS1;TGM2;TGFB2;TBX3;BMP1;HHIP;FRZB;RBP4;EVC;ATP7A;WNT5A;ITGB8;PTGER4;ANKRD11;VCAN;TRIP11
negative regulation of viral process (GO:0048525)	0.0061544294489219815	0.5231115650883976	2.147726400306758	19.26%	IFI16;PTX3;IFIT1;OASL;OAS3;RNASEL;PARP10;IFIH1;MX1;ISG20;APOBEC3G;IFIT5;IFITM3;ISG15
outflow tract septum morphogenesis (GO:0003148)	0.00635383870146281	0.6333147543268441	2.144086766328382	8.62%	SEMA3C;NRP1;ENG;GATA6;PARVA;ZFPM2;BMP4;TGFB2
cellular response to lipid (GO:0071396)	0.008203100493970541	0.43531114809088406	2.1291568250072186	17.35%	TFPI;CD68;LY96;ANKRD1;SERPINE1;IL1B;VIM;IL6;CD14;CARD16;CXCL8;CASP1;PDCD1LG2;PID1;TLR4;CCL2;WNT5B;TNFAIP3;NR3C1;MGARP;EGFR;AHR;SIRPA;CD274;ADCY6;TNFSF4;TICAM1;WNT5A;NKX3-1;AXL
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	0.009116377267316206	0.6174134654767467	2.1219297324367012	14.19%	SP100;SERPINE1;THBS1;LGALS3;FAS;TRADD;TNFAIP3;CASP8;ICAM1
negative regulation of ossification (GO:0030279)	0.011174671081234117	0.7313760721341236	2.101962922611363	1.66%	SRGN;DKK1;ECM1;GREM1
negative regulation of proteolysis (GO:0045861)	0.011394242299184723	0.6335239260114508	2.098475328039957	31.15%	TIMP3;ECM1;TIMP1;CSTA;SERPINE2;TIMP2;PLAT;PRNP;TMEM59;CST3;CLN3;CAMK2N1;CSTB
regulation of cell population proliferation (GO:0042127)	0.011937209940017903	0.32707875221600075	2.092916193064814	18.92%	IGFBP7;SFRP4;FGF7;INHBA;IGF1;GPNMB;NUPR1;CDH13;NPR3;IGFBP3;PDGFRA;CDKN2A;NRG1;CDKN2B;GREM1;IFIT3;ENG;CDKN2C;NOX4;TIMP1;RUNX1;IL1B;VEGFC;THBS1;IL6;FN1;OSMR;IFI35;EDN1;AKR1C3;FGF5;DPP4;CXCL8;DLC1;MEIS2;MEIS1;FGF1;IL6ST;IL7R;NGF;IL11;VDR;PDGFC;TFAP2A;AGT;BST1;IRF1;KAT2B;CCPG1;BMP4;TSPO;TGFB2;CSF1;TBX3;CLEC11A;CYP1B1;FOSL1;IL11RA;TGFB1I1;EGFR;TSLP;ELN;PODN;CDKN2D;HBEGF;ZNF503;FRZB;AKR1C2;OSR2;ITGB1BP1;CLCF1;BNC1;GRK5;ADAMTS1;LMNA;TNFSF4;SMARCA2;NMI;SGK1;WWTR1;FER;SMYD2;ALDH1A2;BMPR2;SSR1;SERTAD1;NKX3-1;CD47;TGFBR2;S100A11;S100A13;PDGFRB;MCTS1;CSNK2B;SIRT2
negative regulation of cell cycle G1/S phase transition (GO:1902807)	0.011868240117790424	0.5660516011460509	2.089929004341712	31.38%	GPNMB;CDKN2A;CDKN2B;CDKN2C;SLFN11;CCL2;CDKN2D;PRMT2;FHL1;CDKN1A;KLF4;KANK2;DACT1;PKD2
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	0.011868240117790424	0.5660516011460509	2.089929004341712	31.38%	GPNMB;CDKN2A;CDKN2B;CDKN2C;SLFN11;CCL2;CDKN2D;PRMT2;FHL1;CDKN1A;KLF4;KANK2;DACT1;PKD2
positive regulation of epithelial cell apoptotic process (GO:1904037)	0.013545207298973556	0.6613539997206493	2.076933482625348	7.05%	SFRP4;THBS1;IL6;AKR1C3;PLA2R1;CCL2
positive regulation of inflammatory response (GO:0050729)	0.01328963734993632	0.49491318066308876	2.076874788884519	17.97%	NUPR1;SERPINE1;IL1B;IL6;OSMR;IFI35;IL6ST;TLR4;AGT;TRADD;IL16;TSLP;TNFSF4;NMI;WNT5A;PTGER4;CD47
regulation of defense response (GO:0031347)	0.013470777771961427	0.5186479668984564	2.073311646955305	17.46%	ANXA1;CASP4;MGLL;IL1R1;CASP1;BST1;IRF1;NLRP1;CASP8;FOXP1;LACC1;TNFSF4;WNT5A;ADAMTS12;DHX58
regulation of nitric oxide biosynthetic process (GO:0045428)	0.013423255353769975	0.6217665714235634	2.0720521900149094	17.97%	IL1B;CAV1;EDN1;KLF2;TLR4;SIRPA;PTGIS;ATP2B4;CD47
positive regulation of neuron death (GO:1901216)	0.013183554365309796	0.6109692178170743	2.071660600169928	17.93%	NUPR1;DKK1;DDIT3;TLR4;TFAP2A;TGFB2;MAP3K5;WNT5A;BACE1;PRNP
regulation of neuroinflammatory response (GO:0150077)	0.014237966608149332	0.868021819027076	2.0628032606109574	3.25%	IGF1;NUPR1;IL1B;IL6;SPHK1
regulation of endothelial cell apoptotic process (GO:2000351)	0.01408607963879703	0.5501435775959334	2.0621137923206985	22.87%	SERPINE1;SCG2;THBS1;AKR1C3;ANGPT1;IL11;CCL2;TNFAIP3;SEMA5A;ICAM1;GATA2;GAS6;ITGA4;NFE2L2
lipopolysaccharide-mediated signaling pathway (GO:0031663)	0.013870334739773841	0.7209020797291993	2.062034180589591	20.61%	IL1B;CD14;TLR4;CCL2;PRKCE;TICAM1;TGFB1
positive regulation of protein transport (GO:0051222)	0.015968903351313974	0.5088970755404798	2.048251487729872	29.51%	IGF1;ANKRD1;ANG;TTN;TGFB2;SYTL4;PRR5L;RAB29;TGFB1;VPS28;FRMD4A;MYH10;IER3IP1;TMED10;CEP290;CLN3;TPR
regulation of fibroblast proliferation (GO:0048145)	0.017464713413061075	0.555030287179739	2.039338359673088	8.84%	IGF1;S100A6;PDGFRA;FN1;SPHK1;DDR2;PDGFC;AGT;PARP10
cellular response to interleukin-1 (GO:0071347)	0.017642697753576346	0.43220599142896293	2.036695883491845	32.50%	CCL11;ANKRD1;IL1B;GBP1;IL1R1;CXCL8;GBP2;GBP3;CCL2;IRAK3;SIRPA;PTGIS;ADAMTS12;NKX3-1;SQSTM1;CD47;PSMD9;UBA52;SKP1;IRAK4;PSMB2;IL1RAP;UBB;TANK;RBX1;CCL26;UBC;PSMF1;MAP3K8;PSMA5;NFKB1
positive regulation of fibroblast proliferation (GO:0048146)	0.017556530731580856	0.5900890114326576	2.0356802938360814	7.40%	IGF1;S100A6;PDGFRA;FN1;SPHK1;DDR2;PDGFC;AGT
response to glucocorticoid (GO:0051384)	0.017409440932315123	0.7989771978692074	2.0349299112250288	12.51%	ANXA1;SLIT3;IL6;NR3C1;SLIT2
negative regulation of viral genome replication (GO:0045071)	0.01789324494060938	0.5185501839606355	2.0316747355965363	19.26%	IFI16;IFIT1;OASL;OAS3;RNASEL;PARP10;IFIH1;MX1;ISG20;APOBEC3G;IFIT5;IFITM3;ISG15
regulation of viral genome replication (GO:0045069)	0.017910011355903258	0.4883583227198336	2.030371431416357	19.26%	IFI16;IFIT1;OASL;OAS3;CXCL8;RNASEL;PARP10;IFIH1;MX1;PPARA;ISG20;APOBEC3G;IFIT5;IFITM3;ISG15
response to ketone (GO:1901654)	0.01869599314184956	0.6892487359834515	2.025561735525462	20.61%	SLIT3;THBS1;CAV1;TGFB2;SLIT2;NKX3-1;TGFB1
regulation of collagen biosynthetic process (GO:0032965)	0.018580714489343415	0.7205196881444826	2.0246513394437815	20.61%	RUNX1;VIM;IL6;EMILIN1;BMP4;CREB3L1;TGFB1
steroid metabolic process (GO:0008202)	0.02012093623401182	0.5368971313423919	2.0161323273710163	15.15%	AKR1C3;AKR1C1;VDR;TSPO;STS;CYP1B1;AKR1C2;CYP4V2;HSD17B1;HSD11B1
regulation of immune response (GO:0050776)	0.021869190182455072	0.45048286349393996	2.0081418494234686	24.59%	COL3A1;CLEC2B;COL1A1;COL1A2;HLA-B;IRF1;TGFB2;CASP8;AHR;FOXP1;MICA;B2M;ICAM1;TNFSF4;CLEC2D;DHX58;COLEC12;ITGA4;DENND1B;BCL6;NCR3LG1
regulation of endothelial cell proliferation (GO:0001936)	0.021675860511977875	0.44882212675370214	2.0075767208794746	18.34%	CDH13;NR2F2;ECM1;CCL11;NRP1;SCG2;VEGFC;THBS1;CAV2;CAV1;SPARC;ANGPT1;ANG;BMP4;F3;SEMA5A;ATOH8;WNT5A;BMPR2;PRKD1;PRKCA;PTPRM
cellular response to amino acid starvation (GO:0034198)	0.021808334723170758	0.5002302291087759	2.0063378373187297	38.11%	FAS;MAP3K5;RNF152;PRKD1;ATP6V0E1;ATP6V0D1;CDKN1A;RRAGC;LAMTOR5;SH3GLB1;LAMTOR3;ATP6V0C;DAP;TCIRG1;ATP6V1G1;ATP6V1D;ATP6V0B;NPRL2;ATP6V1E1;LAMTOR2;RRAGB;SEC13;ATP6V1F
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	0.02206731531453648	0.49185090918461577	2.003795461609823	31.92%	FBN1;ASPN;CAV1;EMILIN1;LDLRAD4;TGFB1I1;PPARA;VEPH1;PBLD;CD109;TGFBR2;UBA52;TGFB1;FAM89B;UBB;LTBP1;PMEPA1;SMAD3;UBC
elastic fiber assembly (GO:0048251)	0.0218791459667532	0.8257207038562338	2.0030853340163493	17.52%	MFAP4;FBLN5;EFEMP2;EMILIN1;ATP7A;LTBP3
eye morphogenesis (GO:0048592)	0.02202170581138709	0.6438103795675776	2.0014223173548378	6.15%	MFAP5;FBN1;COL5A1;EFEMP1;COL5A2
response to cytokine (GO:0034097)	0.022821222397844707	0.40663721901496824	1.9973854987711668	19.26%	COL3A1;ANXA1;TIMP3;SP100;TIMP1;IL1B;SPHK1;OSMR;IL1R1;XAF1;CASP1;IL6ST;PID1;TIMP2;SMPD1;MX1;CASP8;IRAK3;CD274;AFF3;ALDH1A2;PRKCA;CXCL16;IFITM3;ISG15
negative regulation of blood coagulation (GO:0030195)	0.022612968249588864	0.6401312591861734	1.9971582720322454	13.71%	TFPI;PDGFRA;SERPINE1;SERPINB2;EDN1;SERPINE2;PLAUR;PLAT;F3;F8
pattern recognition receptor signaling pathway (GO:0002221)	0.02354099611497909	0.5647184856140097	1.9929863236907894	25.19%	LY96;CD14;TLR4;CTSB;ALPK1;CTSS;CTSK;LACC1;TIFA;UBA52;IRAK4;CTSL;UBB
negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)	0.024668854892050274	0.8608773062376269	1.9873062497444678	6.73%	DKK1;GREM1;EMILIN1;LDLRAD4
negative regulation of mitotic cell cycle phase transition (GO:1901991)	0.024360494205899644	0.4734749353646455	1.987275615751588	32.37%	GPNMB;CDKN2A;CDKN2B;CDKN2C;SLFN11;CCL2;CDKN2D;PSMD9;SKP1;PRMT2;PSMB2;FHL1;CDKN1A;RBX1;KLF4;KANK2;DACT1;PKD2;PSMF1;PSMA5
wound healing (GO:0042060)	0.024880727601197413	0.48710187053087717	1.9841002400728525	9.78%	COL3A1;IGF1;MYOF;PDGFRA;NRG1;FGF1;GATA4;SMPD1;TGFB2;SYTL4;AHNAK2
supramolecular fiber organization (GO:0097435)	0.024643505586374462	0.3395708107695265	1.9837737566337448	18.10%	COL3A1;LUM;COL6A3;LTBP2;LOX;COL12A1;MFAP4;COL1A1;COL1A2;COL15A1;GREM1;FBLN5;COL8A1;LMOD1;COL5A1;CLIP4;VIM;DPT;COL8A2;COL4A4;DDR2;P4HA2;COL16A1;EFEMP2;COL21A1;COL5A2;LAMB3;EMILIN1;TGFBI;TGFB2;BMP1;CEP126;CYP1B1;ADAMTS2;COL14A1;LOXL4;LOXL2;RAC2;COL4A1;B2M;CLIP1;P4HA3;ATP7A;CRIPT;DST;COL7A1;TPM2;BACE1;PSENEN;LTBP3;RHOBTB3;HOOK3
positive regulation of striated muscle cell differentiation (GO:0051155)	0.024706317243423412	0.7643830145837995	1.982385606429842	3.72%	IGF1;NRG1;GREM1;EDN1
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	0.024864571284573256	0.5051782330812038	1.9804001541645122	8.94%	INHBA;DKK1;GREM1;DAB2;ENG;GDF6;EMILIN1;LDLRAD4;BMP4;TGFB2;HFE
embryonic limb morphogenesis (GO:0030326)	0.025913211270637476	0.6394833611044692	1.9755409238987551	15.97%	TWIST1;TFAP2A;TGFB2;TBX3;MBNL1;OSR2;AFF3;OSR1
regulation of humoral immune response (GO:0002920)	0.02565923662550549	0.6815059225832005	1.9753463849986987	6.30%	CFH;C1R;GATA6;CD59;C1S
negative regulation of cell development (GO:0010721)	0.02619106059085295	0.6538758738068005	1.972465111539589	2.86%	FBN1;IGF1;CCL11;IL1B;IL6
defense response to bacterium (GO:0042742)	0.02612476398125728	0.515022712981084	1.9717493289757806	20.33%	SERPINE1;IL6;LYST;OAS3;MR1;GBP2;TLR4;ANG;NLRP1;OPTN;MICA;WFDC3;COLEC12;ISG15;RPS19
